REPORT_ID	REPORT_NAME	POINT_1_STREET	POINT_2_STREET	TIMESTAMP	status	avgMeasuredTime	medianMeasuredTime	vehicleCount	avgSpeed
198275	AAR_BT_0427 4548 4554	Jyllands Alle	Jyllands Alle	2021-09-18 12:55:00.000	OK	40	40	29	45
16716811	AAR_BT_1139 4759 4323 	Østjyske Motorvej	Nordjyske Motorvej	2021-09-18 12:55:00.000	OK	64	64	28	110
158624	AAR_BT_0011 4326 4759	15	Østjyske Motorvej	2020-03-17 13:45:00.000	OK	142	142	27	92
190717	AAR_BT_0290 4572 4567	Grenåvej	Grenåvej	2021-09-18 12:55:00.000	OK	64	64	27	49
16715157	AAR_BT_1107 4712 4327 	Djurslandmotorvejen	Egåvej	2021-09-18 12:55:00.000	OK	93	93	27	116
16715863	AAR_BT_1118 3166 4711 	Skibbyvej	Østjyske Motorvej	2021-09-18 12:55:00.000	OK	73	73	27	104
16716091	AAR_BT_1124 4709 4713 	Århus Syd Motorvejen	Århus Syd Motorvejen	2021-09-18 12:55:00.000	OK	54	54	27	116
16716602	AAR_BT_1134 3164 3168 	Østjyske Motorvej	Niels Bohrs Vej	2021-09-18 12:55:00.000	OK	105	105	26	100
16716884	AAR_BT_1141 4759 4326 	Østjyske Motorvej	15	2021-09-18 12:55:00.000	OK	94	94	26	94
158475	AAR_BT_0006 4323 4759	Nordjyske Motorvej	Østjyske Motorvej	2020-03-17 13:45:00.000	OK	79	79	25	106
16716642	AAR_BT_1135 3168 3164 	Niels Bohrs Vej	Østjyske Motorvej	2021-09-18 12:55:00.000	OK	97	97	25	117
179064	AAR_BT_0115 4367 3989	Marselis Boulevard	Marselis Boulevard	2021-09-18 12:55:00.000	OK	29	29	24	44
158446	AAR_BT_0005 4759 4323	Østjyske Motorvej	Nordjyske Motorvej	2020-03-17 13:45:00.000	OK	79	79	23	106
190770	AAR_BT_0292 4581 4572	Dybbølvej	Grenåvej	2021-09-18 12:55:00.000	OK	44	44	23	65
16716565	AAR_BT_1133 3164 4711 	Østjyske Motorvej	Østjyske Motorvej	2021-09-18 12:55:00.000	OK	94	94	23	113
16716845	AAR_BT_1140 4323 4759 	Nordjyske Motorvej	Østjyske Motorvej	2021-09-18 12:55:00.000	OK	61	61	23	115
16717331	AAR_BT_1148 4349 4326 	Søftenvej	15	2021-09-18 12:55:00.000	OK	70	70	22	84
198301	AAR_BT_0428 4554 4548	Jyllands Alle	Jyllands Alle	2021-09-18 12:55:00.000	OK	45	45	21	40
958152	AAR_BT_0655 4580 4366	Paludan-Müllers Vej	Paludan-Müllers Vej	2021-09-18 12:58:00.000	OK	50	50	21	53
16714880	AAR_BT_1101 4710 4712 	Skovlundvej	Djurslandmotorvejen	2021-09-18 12:55:00.000	OK	77	77	21	118
190663	AAR_BT_0288 4567 4565	Grenåvej	Grenåvej	2021-09-18 12:55:00.000	OK	30	30	20	70
1145581	AAR_BT_0716 3976 5939	Havnegade	Kystvejen	2021-09-18 12:58:00.000	OK	71	71	20	20
4315331	AAR_BT_0801 5909 5906 BT+WiFi	Langelandsgade	Langelandsgade	2021-09-18 12:55:00.000	OK	58	58	20	44
16715890	AAR_BT_1119 4711 3166 	Østjyske Motorvej	Skibbyvej	2021-09-18 12:55:00.000	OK	63	63	20	116
178600	AAR_BT_0101 4582 4581	Grenåvej	Dybbølvej	2021-09-18 12:55:00.000	OK	66	66	19	43
190501	AAR_BT_0282 4569 4353	Grenåvej	Grenåvej	2021-09-18 12:55:00.000	OK	45	45	19	67
190609	AAR_BT_0286 4565 4578	Grenåvej	Grenåvej	2021-09-18 12:55:00.000	OK	37	37	19	59
16716006	AAR_BT_1122 3164 4709 	Østjyske Motorvej	Århus Syd Motorvejen	2021-09-18 12:55:00.000	OK	51	51	19	109
204007	AAR_BT_0478 4548 4568	Jyllands Alle	Rosenvangs Alle	2021-09-18 12:55:00.000	OK	136	136	18	20
16716523	AAR_BT_1132 4711 3164 	Østjyske Motorvej	Østjyske Motorvej	2021-09-18 12:55:00.000	OK	109	109	18	98
158744	AAR_BT_0015 4349 4326	Søftenvej	15	2020-03-17 13:46:00.000	OK	69	69	17	63
958098	AAR_BT_0653 5288 4580	Paludan-Müllers Vej	Paludan-Müllers Vej	2021-09-18 12:58:00.000	OK	82	82	17	63
16715440	AAR_BT_1112 3162 3166 	Østjyske Motorvej	Skibbyvej	2021-09-18 12:55:00.000	OK	161	161	17	105
16716292	AAR_BT_1126 4713 3167 	Århus Syd Motorvejen	Norringholmsvej	2021-09-18 12:55:00.000	OK	163	163	17	120
16716953	AAR_BT_1142 4326 4759 	15	Østjyske Motorvej	2021-09-18 12:55:00.000	OK	136	136	17	83
190555	AAR_BT_0284 4578 4569	Grenåvej	Grenåvej	2021-09-18 12:55:00.000	OK	29	29	16	65
203981	AAR_BT_0477 4568 4548	Rosenvangs Alle	Jyllands Alle	2021-09-18 12:55:00.000	OK	99	99	16	26
201237	AAR_BT_0432 4368 4568	Rosenvangs Alle	Rosenvangs Alle	2021-09-18 12:55:00.000	OK	127	127	15	37
6062719	AAR_BT_9010 3181 (4374 OR 3187) 	Grenåvej	Kystvejen	2020-12-01 08:40:00.000	OK	272	272	15	34
16714853	AAR_BT_1100 4712 4710 	Djurslandmotorvejen	Skovlundvej	2021-09-18 12:55:00.000	OK	77	77	15	118
16715127	AAR_BT_1106 4327 4712 	Egåvej	Djurslandmotorvejen	2021-09-18 12:55:00.000	OK	88	88	15	123
16715594	AAR_BT_1113 3166 3162 	Skibbyvej	Østjyske Motorvej	2021-09-18 12:55:00.000	OK	152	152	15	112
16717294	AAR_BT_1147 4326 4349 	15	Søftenvej	2021-09-18 12:55:00.000	OK	59	59	15	97
171969	AAR_BT_0029 4326 NOT4322 4759	15	Østjyske Motorvej	2021-09-18 12:55:00.000	OK	129	129	14	101
158655	AAR_BT_0012 4326 4327	15	Djurslandmotorvejen	2021-09-18 12:55:00.000	OK	210	210	14	115
190908	AAR_BT_0297 4346 4340	Lystrupvej	Lystrupvej	2021-09-18 12:55:00.000	OK	97	97	14	51
1145662	AAR_BT_0719 5835 3976	Dynkarken	Havnegade	2021-09-18 12:58:00.000	OK	90	90	14	12
158954	AAR_BT_0022 4350 4349	Søftenvej	Søftenvej	2020-03-17 13:32:00.000	OK	27	27	13	137
197572	AAR_BT_0401 4378 4562	Møllebakken	Møllebakken	2021-09-18 12:55:00.000	OK	38	38	13	52
197626	AAR_BT_0403 4562 4559	Møllebakken	Søren Lofts Vej	2021-09-18 12:55:00.000	OK	97	97	13	59
